Date,Open Interest,Producer/Merchant/ Processor/User Long,Producer/Merchant/ Processor/User Short,Swap Dealers Long,Swap Dealers short,Swap Dealers Spreading,Managed Money Long,Managed Money Short,Managed Money Spreading,Other Reportables Long,Other Reportables Short,Other Reportables Spreading,Nonreportable Positions Long,Nonreportable PositionsShort
11/30/2021,326664,194721,231439,51388,4428,12813,24609,38251,7378,7474,698,27586,695,4071
11/23/2021,334457,192817,239309,48092,5181,13520,27922,31742,10028,9390,261,30819,1869,3597
11/16/2021,330601,191573,232866,50114,6193,11372,27645,36804,6797,8445,615,32564,2091,3390
11/9/2021,325429,188347,236037,50929,5884,11074,27511,29844,4037,6943,933,34511,2077,3109
11/2/2021,322166,183477,250180,44958,6022,11816,34439,12771,6730,6808,604,31207,2731,2836
10/26/2021,321998,170885,254142,38378,6760,12176,53784,7000,8820,5150,798,30000,2805,2302
10/19/2021,321319,166810,253107,33961,7946,11795,61902,6090,9419,5111,608,29370,2951,2984
10/12/2021,322465,169534,254405,32023,8953,12027,58091,3962,7092,7110,651,33062,3526,2313
10/5/2021,325602,172725,256228,33077,9584,11649,54482,3338,9275,7110,370,33296,3988,1862
9/28/2021,314212,176195,246513,33741,8206,10563,46685,6279,12304,4748,883,26206,3770,3258
9/21/2021,319610,183959,249803,32949,10535,10708,43883,6827,13057,5624,470,25817,3613,2393
9/14/2021,320869,188503,252889,35601,9092,10763,39632,7405,12829,5519,743,24987,3035,2161
9/7/2021,330712,207727,245968,18681,17687,17076,37205,7780,12824,7063,366,27304,2832,1707
8/31/2021,330762,210806,248980,26967,17828,13974,33330,10820,10394,5230,372,26653,3408,1741
8/24/2021,344343,219974,250659,25472,20947,15044,29271,8898,11239,5732,591,34937,2674,2028
8/17/2021,339742,222292,241152,21504,23374,14116,22524,12122,11765,9234,470,35245,3062,1498
8/10/2021,324903,218495,216743,28809,23445,12289,12003,26519,13954,7641,641,29450,2262,1862
8/3/2021,305900,207109,198122,32295,22841,11518,7812,32510,12297,6225,382,26255,2389,1975
7/27/2021,300973,205544,185076,29494,22928,11443,7169,38984,12881,6213,694,26251,1978,2716
7/20/2021,288310,197937,182732,33453,19332,9721,6632,37865,10165,5007,863,23790,1605,3842
7/13/2021,272135,187497,176176,27087,19778,11481,7904,29600,9666,4573,986,21920,2007,2528
7/6/2021,277368,190839,176747,29954,22488,10590,7476,30786,10442,4060,680,22173,1834,3462
6/29/2021,282559,192926,179675,29129,23149,11821,7976,29709,8764,4178,546,25709,2056,3186
6/22/2021,269674,178947,176045,27630,18034,11954,7796,24160,9423,4963,350,26544,2417,3164
6/15/2021,266601,171964,169737,27676,18091,12316,7871,23042,11861,4962,445,27767,2184,3342
6/8/2021,263699,165498,166440,31169,18071,10232,7607,21588,15047,4338,892,27801,2007,3628
6/1/2021,257182,153423,168098,32560,17917,9005,10205,13291,18253,3821,286,27071,2844,3261
5/25/2021,249664,146980,163793,30611,18360,8269,11439,9483,18684,4153,631,27237,2291,3207
5/18/2021,246775,147143,165255,27086,19033,9784,14969,8574,14948,4329,932,25886,2630,2363
5/11/2021,260597,163873,163097,31479,24447,8549,8573,20150,14725,4498,854,26263,2637,2512
5/4/2021,259253,158556,161525,35105,25037,7462,10982,20417,14791,4086,1098,25939,2332,2984
4/27/2021,271307,158526,166948,32898,25181,11871,11712,16156,14462,4887,362,33281,3670,3046
